seq_a,seq_b,card_wins_p2,card_ties_p2,trick_wins_p2,trick_ties_p2
000,000,0,0,0,0
000,001,18,0,16,5
000,010,31,1,27,8
000,011,38,0,34,7
000,100,48,0,47,1
000,101,35,0,35,6
000,110,48,0,48,0
000,111,23,0,7,21
001,000,30,0,27,5
001,001,0,0,0,0
001,010,7,0,9,1
001,011,0,0,3,4
001,100,48,0,45,3
001,101,6,1,8,4
001,110,18,0,15,10
001,111,1,0,0,1
010,000,16,1,13,8
010,001,41,0,38,1
010,010,0,0,0,0
010,011,19,0,18,8
010,100,22,0,17,6
010,101,21,2,15,13
010,110,41,0,34,5
010,111,10,3,11,3
011,000,10,0,7,7
011,001,48,0,41,4
011,010,29,0,22,8
011,011,0,0,0,0
011,100,26,0,17,8
011,101,22,2,21,7
011,110,0,0,1,5
011,111,0,0,0,0
100,000,0,0,0,1
100,001,0,0,0,3
100,010,26,0,25,6
100,011,22,0,23,8
100,100,0,0,0,0
100,101,25,1,22,9
100,110,43,0,42,2
100,111,6,0,1,8
101,000,13,0,7,6
101,001,41,1,36,4
101,010,25,2,20,13
101,011,24,2,20,7
101,100,22,1,17,9
101,101,0,0,0,0
101,110,36,2,32,8
101,111,13,0,13,7
110,000,0,0,0,0
110,001,30,0,23,10
110,010,7,0,9,5
110,011,48,0,42,5
110,100,5,0,4,2
110,101,10,2,8,8
110,110,0,0,0,0
110,111,27,0,19,9
111,000,25,0,20,21
111,001,47,0,47,1
111,010,35,3,34,3
111,011,48,0,48,0
111,100,42,0,39,8
111,101,35,0,28,7
111,110,21,0,20,9
111,111,0,0,0,0
